patient_id,patient
PAT142752,PAT1401364
PAT142753,PAT1401365
PAT142754,PAT1401366
PAT142755,PAT1401367
PAT142756,PAT1401368
PAT142757,PAT1401369
PAT142758,PAT1401370
PAT142759,PAT1401371
PAT142760,PAT1401372
PAT142761,PAT1401373
PAT142762,PAT1401374
PAT142763,PAT1401375
PAT142764,PAT1401376
PAT142765,PAT1401377
PAT142766,PAT1401378
PAT142767,PAT1401379
PAT142768,PAT1401380
PAT142769,PAT1401381
PAT142770,PAT1401382
PAT142771,PAT1401383
PAT142772,PAT1401384
PAT142773,PAT1401385
PAT142774,PAT1401386
PAT142775,PAT1401387
PAT142776,PAT1401388
PAT142777,PAT1401389
PAT142778,PAT1401390
PAT142779,PAT1401391
PAT142780,PAT1401392
PAT142781,PAT1401393
PAT142782,PAT1401394
PAT142783,PAT1401395
PAT142784,PAT1401396
PAT142785,PAT1401397
PAT142786,PAT1401398
PAT142787,PAT1401399
PAT142788,PAT1401400
PAT142789,PAT1401401
PAT142790,PAT1401402
PAT142791,PAT1401403
PAT142792,PAT1401404
PAT142793,PAT1401405
PAT142794,PAT1401406
PAT142795,PAT1401407
PAT142796,PAT1401408
PAT142797,PAT1401409
PAT142798,PAT1401410
PAT142799,PAT1401411
PAT142800,PAT1401412
PAT142801,PAT1401413
PAT142802,PAT1401414
PAT142803,PAT1401415
PAT142804,PAT1401416
PAT142805,PAT1401417
PAT142806,PAT1401418
PAT142807,PAT1401419
PAT142808,PAT1401420
PAT142809,PAT1401421
PAT142810,PAT1401422
PAT142811,PAT1401423
PAT142812,PAT1401424
PAT142813,PAT1401425
PAT142814,PAT1401426
PAT142815,PAT1401427
PAT142816,PAT1401428
PAT142817,PAT1401429
PAT142818,PAT1401430
PAT142819,PAT1401431
PAT142820,PAT1401432
PAT142821,PAT1401433
PAT142822,PAT1401434
PAT142823,PAT1401435
PAT142824,PAT1401436
PAT142825,PAT1401437
PAT142826,PAT1401438
PAT142827,PAT1401439
PAT142828,PAT1401440
PAT142829,PAT1401441
PAT142830,PAT1401442
PAT142831,PAT1401443
PAT142832,PAT1401444
PAT142833,PAT1401445
PAT142834,PAT1401446
PAT142835,PAT1401447
PAT142836,PAT1401448
PAT142837,PAT1401449
PAT142838,PAT1401450
PAT142839,PAT1401451
PAT142840,PAT1401452
PAT142841,PAT1401453
PAT142842,PAT1401454
PAT142843,PAT1401455
PAT142844,PAT1401456
PAT142845,PAT1401457
PAT142846,PAT1401458
PAT142847,PAT1401459
PAT142848,PAT1401460
PAT142849,PAT1401461
PAT142850,PAT1401462
PAT142851,PAT1401463
PAT142852,PAT1401464
PAT142853,PAT1401465
PAT142854,PAT1401466
PAT142855,PAT1401467
PAT142856,PAT1401468
PAT142857,PAT1401469
PAT142858,PAT1401470
PAT142859,PAT1401471
PAT142860,PAT1401472
PAT142861,PAT1401473
PAT142862,PAT1401474
PAT142863,PAT1401475
PAT142864,PAT1401476
PAT142865,PAT1401477
PAT142866,PAT1401478
PAT142867,PAT1401479
PAT142868,PAT1401480
PAT142869,PAT1401481
PAT142870,PAT1401482
PAT142871,PAT1401483
PAT142872,PAT1401484
PAT142873,PAT1401485
PAT142874,PAT1401486
PAT142875,PAT1401487
PAT142876,PAT1401488
PAT142877,PAT1401489
PAT142878,PAT1401490
PAT142879,PAT1401491
PAT142880,PAT1401492
PAT142881,PAT1401493
PAT142882,PAT1401494
PAT142883,PAT1401495
PAT142884,PAT1401496
PAT142885,PAT1401497
PAT142886,PAT1401498
PAT142887,PAT1401499
PAT142888,PAT1401500
PAT142889,PAT1401501
PAT142890,PAT1401502
PAT142891,PAT1401503
PAT142892,PAT1401504
PAT142893,PAT1401505
PAT142894,PAT1401506
PAT142895,PAT1401507
PAT142896,PAT1401508
PAT142897,PAT1401509
PAT142898,PAT1401510
PAT142899,PAT1401511
PAT142900,PAT1401512
PAT142901,PAT1401513
PAT142902,PAT1401514
PAT142903,PAT1401515
PAT142904,PAT1401516
PAT142905,PAT1401517
PAT142906,PAT1401518
PAT142907,PAT1401519
PAT142908,PAT1401520
PAT142909,PAT1401521
PAT142910,PAT1401522
PAT142911,PAT1401523
PAT142912,PAT1401524
PAT142913,PAT1401525
PAT142914,PAT1401526
PAT142915,PAT1401527
PAT142916,PAT1401528
PAT142917,PAT1401529
PAT142918,PAT1401530
PAT142919,PAT1401531
PAT142920,PAT1401532
PAT142921,PAT1401533
PAT142922,PAT1401534
PAT142923,PAT1401535
PAT142924,PAT1401536
PAT142925,PAT1401537
PAT142926,PAT1401538
PAT142927,PAT1401539
PAT142928,PAT1401540
PAT142929,PAT1401541
PAT142930,PAT1401542
PAT142931,PAT1401543
PAT142932,PAT1401544
PAT142933,PAT1401545
PAT142934,PAT1401546
PAT142935,PAT1401547
PAT142936,PAT1401548
PAT142937,PAT1401549
PAT142938,PAT1401550
PAT142939,PAT1401551
PAT142940,PAT1401552
PAT142941,PAT1401553
PAT142942,PAT1401554
PAT142943,PAT1401555
PAT142944,PAT1401556
PAT142945,PAT1401557
PAT142946,PAT1401558
PAT142947,PAT1401559
PAT142948,PAT1401560
PAT142949,PAT1401561
PAT142950,PAT1401562
PAT142951,PAT1401563
PAT142952,PAT1401564
PAT142953,PAT1401565
PAT142954,PAT1401566
PAT142955,PAT1401567
PAT142956,PAT1401568
PAT142957,PAT1401569
PAT142958,PAT1401570
PAT142959,PAT1401571
PAT142960,PAT1401572
PAT142961,PAT1401573
PAT142962,PAT1401574
PAT142963,PAT1401575
PAT142964,PAT1401576
PAT142965,PAT1401577
PAT142966,PAT1401578
PAT142967,PAT1401579
PAT142968,PAT1401580
PAT142969,PAT1401581
PAT142970,PAT1401582
PAT142971,PAT1401583
PAT142972,PAT1401584
PAT142973,PAT1401585
PAT142974,PAT1401586
PAT142975,PAT1401587
PAT142976,PAT1401588
PAT142977,PAT1401589
PAT142978,PAT1401590
PAT142979,PAT1401591
PAT142980,PAT1401592
PAT142981,PAT1401593
PAT142982,PAT1401594
PAT142983,PAT1401595
PAT142984,PAT1401596
PAT142985,PAT1401597
PAT142986,PAT1401598
PAT142987,PAT1401599
PAT142988,PAT1401600
PAT142989,PAT1401601
PAT142990,PAT1401602
PAT142991,PAT1401603
PAT142992,PAT1401604
PAT142993,PAT1401605
PAT142994,PAT1401606
PAT142995,PAT1401607
PAT142996,PAT1401608
PAT142997,PAT1401609
PAT142998,PAT1401610
PAT142999,PAT1401611
PAT143000,PAT1401612
PAT143001,PAT1401613
